name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
United Nations,Midtown,Turtle Bay,United Nations,United Nations (TURTLE BAY(MIDTOWN EAST(MIDTOWN))),False
Upper East Side,Upper East Side,Upper East Side,Upper East Side,Upper East Side,False
Upper West Side,Upper West Side,Upper West Side,Upper West Side,Upper West Side,False
Wards Island Wastewater Treatment Plant,Randall'S Island,Randall'S Island,Wards Island Wastewater Treatment Plant,Wards Island Wastewater Treatment Plant (RANDALL'S ISLAND),False
West Harlem/ Manhattanville,Harlem,Harlem,West Harlem/ Manhattanville,West Harlem/ Manhattanville (HARLEM),False
West Village,Greenwich Village,Greenwich Village,West Village,West Village (GREENWICH VILLAGE),False
Washington Heights,Washington Heights,Washington Heights,Washington Heights,Washington Heights,False
Yorkville,Upper East Side,Upper East Side,Yorkville,Yorkville (UPPER EAST SIDE),False
"Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""",False
Allerton,Allerton,Allerton,Allerton,Allerton,False
MTA Bay Plaza Bus Depot,Eastchester,Baychester,MTA Bay Plaza Bus Depot,MTA Bay Plaza Bus Depot (BAYCHESTER(EASTCHESTER)),False
Bedford Park,Bedford Park,Bedford Park,Bedford Park,Bedford Park,False
Belmont,Belmont,Belmont,Belmont,Belmont,False
Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,False
Bronx Community College,University Heights,University Heights,Bronx Community College,Bronx Community College (UNIVERSITY HEIGHTS),False
Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,False
Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,False
Castle Hill,Castle Hill,Castle Hill,Castle Hill,Castle Hill,False
City Island,City Island,City Island,City Island,City Island,False
Classon Point,Classon Point,Classon Point,Classon Point,Classon Point,False
Claremont,Claremont,Claremont,Claremont,Claremont,False
Concourse,Concourse,Concourse,Concourse,Concourse,False
Concourse Village,Concourse,Concourse,Concourse Village,Concourse Village (CONCOURSE),False
Co-op City,Co-op City,Co-op City,Co-op City,Co-op City,False
Co-op City Powerplant,Co-Op City,Co-Op City,Co-op City Powerplant,Co-op City Powerplant (CO-OP CITY),False
Con Edison Van Nest Yard,Van Nest,Van Nest,Con Edison Van Nest Yard,Con Edison Van Nest Yard (VAN NEST),False
Country Club,Country Club,Country Club,Country Club,Country Club,False
Crotona Park East,Crotona Park East,Crotona Park East,Crotona Park East,Crotona Park East,False
Delafield Estates,Riverdale,Riverdale,Delafield Estates,Delafield Estates (RIVERDALE) (GATED COMMUNITY),False
Eastchester,Eastchester,Eastchester,Eastchester,Eastchester,False
Edenwald,Edenwald,Edenwald,Edenwald,Edenwald,False
Edgewater Park,Throgs Neck,Throgs Neck,Edgewater Park,Edgewater Park (THROGS NECK) (GATED COMMUNITY),False
Ethical Culture Fieldston School,Riverdale,Riverdale,Ethical Culture Fieldston School,Ethical Culture Fieldston School (RIVERDALE),False
Fed Ex Ground,Castle Hill,Castle Hill,Fed Ex Ground,Fed Ex Ground (CASTLE HILL),False
Fresh Direct and Fedex Shipping Center,Mott Haven,Port Morris,Fresh Direct and Fedex Shipping Center,Fresh Direct and Fedex Shipping Center (PORT MORRIS(MOTT HAVEN)),False
Fordham,Fordham,Fordham,Fordham,Fordham,False
Fordham Heights,Fordham Heights,Fordham Heights,Fordham Heights,Fordham Heights,False
Fordham Hill,Fordham,Fordham,Fordham Hill,Fordham Hill (FORDHAM) (GATED COMMUNITY),False
Fordham University,Fordham University,Fordham University,Fordham University,Fordham University,False
Hart Island,Hart Island,Hart Island,Hart Island,Hart Island,False
High Island,High Island,High Island,High Island,High Island,False
Highbridge,Highbridge,Highbridge,Highbridge,Highbridge,False
Horace Mann School,Riverdale,Riverdale,Horace Mann School,Horace Mann School (RIVERDALE),False
Hunts Point,Hunts Point,Hunts Point,Hunts Point,Hunts Point,False
Hunts Point Wastewater Treatment Plant,Hunts Point,Hunts Point,Hunts Point Wastewater Treatment Plant,Hunts Point Wastewater Treatment Plant (HUNTS POINT),False
Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,False
Island Point Condos,City Island,City Island,Island Point Condos,Island Point Condos (CITY ISLAND)(GATED COMMUNITY),False
Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,False
Kingsbridge,Kingsbridge,Kingsbridge,Kingsbridge,Kingsbridge,False
Kingsbridge Heights,Kingsbridge,Kingsbridge,Kingsbridge Heights,Kingsbridge Heights (KINGSBRIDGE),False
Korea Town,Midtown,Midtown,Korea Town,Korea Town (MIDTOWN),False
Laconia,Allerton,Allerton,Laconia,Laconia (ALLERTON),False
Lagoon Estates Condominiums,Throgs Neck,Throgs Neck,Lagoon Estates Condominiums,Lagoon Estates Condominiums (THROGS NECK)(GATED COMMUNITY),False
Lehman College,Bedford Park,Bedford Park,Lehman College,Lehman College (BEDFORD PARK),False
Longwood,Longwood,Longwood,Longwood,Longwood,False
Manhattan Beer Distribution,Hunts Point,Hunts Point,Manhattan Beer Distribution,Manhattan Beer Distribution (HUNTS POINT),False
Manhattan University,Riverdale,Riverdale,Manhattan University,Manhattan University (RIVERDALE),False
Melrose,Melrose,Melrose,Melrose,Melrose,False
Morrisania,Morrisania,Morrisania,Morrisania,Morrisania,False
Morris Heights,Morris Heights,Morris Heights,Morris Heights,Morris Heights,False
Morris Park,Morris Park,Morris Park,Morris Park,Morris Park,False
Mount Eden,Mount Eden,Mount Eden,Mount Eden,Mount Eden,False
Mount Hope,Mount Hope,Mount Hope,Mount Hope,Mount Hope,False
MTA Buildings,Hunts Point,Hunts Point,MTA Buildings,MTA Buildings (HUNTS POINT),False
MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,False
MTA Zerega Bus Maintanence and Training Facility,Castle Hill,Castle Hill,MTA Zerega Bus Maintanence and Training Facility,MTA Zerega Bus Maintanence and Training Facility (CASTLE HILL),False
Navy Reserve Center,Throgs Neck,Throgs Neck,Navy Reserve Center,Navy Reserve Center (THROGS NECK),False
North Brother Island,North Brother Island,North Brother Island,North Brother Island,North Brother Island,False
Norwood,Norwood,Norwood,Norwood,Norwood,False
Outlook Point Condos,Country Club,Country Club,Outlook Point Condos,Outlook Point Condos (COUNTRY CLUB) (GATED COMMUNITY),False
Parkchester,Parkchester,Parkchester,Parkchester,Parkchester,False
Pelham Bay,Pelham Bay,Pelham Bay,Pelham Bay,Pelham Bay,False
Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,False
Pelham Gardens,Pelham Gardens,Pelham Gardens,Pelham Gardens,Pelham Gardens,False
Pelham Parkway North/ Bronxwood/ Bronxdale,Pelham Parkway,Pelham Parkway,Pelham Parkway North/ Bronxwood/ Bronxdale,Pelham Parkway North/ Bronxwood/ Bronxdale (PELHAM PARKWAY),False
Pelham Parkway South,Pelham Parkway,Pelham Parkway,Pelham Parkway South,Pelham Parkway South (PELHAM PARKWAY),False
Penny Field Estates,Throgs Neck,Throgs Neck,Penny Field Estates,Penny Field Estates (THROGS NECK) (GATED COMMUNITY),False
Port Morris,Mott Haven,Mott Haven,Port Morris,Port Morris (MOTT HAVEN),False
Rat Island,Rat Island,Rat Island,Rat Island,Rat Island,False
Rikers Island,Rikers Island,Rikers Island,Rikers Island,Rikers Island,False
Riverdale,Riverdale,Riverdale,Riverdale,Riverdale,False
Riverdale Country School,Riverdale,Riverdale,Riverdale Country School,Riverdale Country School (RIVERDALE),False
Riverdale Country School Lower School,Riverdale,Riverdale,Riverdale Country School Lower School,Riverdale Country School Lower School (RIVERDALE),False
Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,False
Russian Diplomatic Compound,Riverdale,North Riverdale,Russian Diplomatic Compound,Russian Diplomatic Compound (NORTH RIVERDALE(RIVERDALE)),False
RW Iron Works,RW Iron Works,RW Iron Works,RW Iron Works,RW Iron Works,False
Schuylerville,Pelham Bay,Pelham Bay,Schuylerville,Schuylerville (PELHAM BAY),False
Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,False
Shelter Cove Estates,Throgs Neck,Edgewaterpark,Shelter Cove Estates,Shelter Cove Estates (EDGEWATERPARK(THROGS NECK)) (GATED COMMUNITY),False
Shorehaven,Classon Point,Classon Point,Shorehaven,Shorehaven (CLASSON POINT) (GATED COMMUNITY),False
SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,False
Silver Beach,Throgs Neck,Throgs Neck,Silver Beach,Silver Beach (THROGS NECK) (GATED COMMUNITY),False
Soundview,Soundview,Soundview,Soundview,Soundview,False
Spuyten Duyvil,Riverdale,Riverdale,Spuyten Duyvil,Spuyten Duyvil (RIVERDALE),False
St Joseph's School for the Deaf,Throgs Neck,Throgs Neck,St Joseph's School for the Deaf,St Joseph's School for the Deaf (THROGS NECK),False
Stratton Park,Stratton Park,Stratton Park,Stratton Park,Stratton Park,False
Sunrise Marina Estates,Country Club,Country Club,Sunrise Marina Estates,Sunrise Marina Estates (COUNTRY CLUB)(GATED COMMUNITY),False
Sunset Cove Condominiums,Country Club,Country Club,Sunset Cove Condominiums,Sunset Cove Condominiums (COUNTRY CLUB) (GATED COMMUNITY),False
Throgs Neck,Throgs Neck,Throgs Neck,Throgs Neck,Throgs Neck,False
Throgs Neck Bridge Service Building,Throgs Neck,Throgs Neck,Throgs Neck Bridge Service Building,Throgs Neck Bridge Service Building (THROGS NECK),False
Tremont,Tremont,Tremont,Tremont,Tremont,False
Unionport,Unionport,Unionport,Unionport,Unionport,False
University Heights,University Heights,University Heights,University Heights,University Heights,False
University of Mount Saint Vincent,Riverdale,North Riverdale,University of Mount Saint Vincent,University of Mount Saint Vincent (NORTH RIVERDALE(RIVERDALE)),False
Van Cortland Village,Kingsbringe,Kingsbridge Heights,Van Cortland Village,Van Cortland Village (KINGSBRIDGE HEIGHTS(KINGSBRINGE)),False
Van Nest,Van Nest,Van Nest,Van Nest,Van Nest,False
Villanova Heights,Riverdale,Riverdale,Villanova Heights,Villanova Heights (RIVERDALE) (PRIVATE COMMUNITY),False
Wakefield,Wakefield,Wakefield,Wakefield,Wakefield,False
Waterstone Estates,Pelham Bay,Schuylerville,Waterstone Estates,Waterstone Estates (SCHUYLERVILLE(PELHAM BAY)) (GATED COMMUNITY),False
Bay Front Estates,Mill Basin,Mill Basin,Bay Front Estates,Bay Front Estates (MILL BASIN) (GATED COMMUNITY),False
Westchester Square,Westchester Square,Westchester Square,Westchester Square,Westchester Square,False
West Farms,West Farms,West Farms,West Farms,West Farms,False
Williamsbridge,Williamsbridge,Williamsbridge,Williamsbridge,Williamsbridge,False
Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,False
WM Harlem River Garbage Transfer Station,Mott Haven,Port Morris,WM Harlem River Garbage Transfer Station,WM Harlem River Garbage Transfer Station (PORT MORRIS(MOTT HAVEN)),False
Bridge View On The Water,Castle Hill,Castle Hill,Bridge View On The Water,Bridge View On The Water (CASTLE HILL) (GATED COMMUNITY),False
name unknown for now,City Island,City Island,name unknown for now,(name unknown for now) (CITY ISLAND) (GATED COMMUNITY),False
name unknown for now,City Island,City Island,name unknown for now,(name unknown for now) (CITY ISLAND) (GATED COMMUNITY),False
name unknown for now,Riverdale,Riverdale,name unknown for now,(name unknown for now)(GATED COMMUNITY)(RIVERDALE),False
Abandoned Brooklyn Developmental Center,Spring Creek,East New York,Abandoned Brooklyn Developmental Center,Abandoned Brooklyn Developmental Center (SPRING CREEK)EAST NEW YORK)),False
Abandoned DSNY Pier,Sunset Park,Sunset Park,Abandoned DSNY Pier,Abandoned DSNY Pier (SUNSET PARK),False
Abandoned Naval Hospital Annex,Brooklyn Navy Yard,Brooklyn Navy Yard,Abandoned Naval Hospital Annex,Abandoned Naval Hospital Annex (BROOKLYN NAVY YARD),False
Alex's Meat Processing,Sunset Park,Sunset Park,Alex's Meat Processing,Alex's Meat Processing (SUNSET PARK),False
Bath Beach,Bath Beach,Bath Beach,Bath Beach,Bath Beach,False
Bay Ridge,Bay Ridge,Bay Ridge,Bay Ridge,Bay Ridge,False
Bed-Stuy,Bed-Stuy,Bed-Stuy,Bed-Stuy,Bed-Stuy,False
Bensonhurst,Bensonhurst,Bensonhurst,Bensonhurst,Bensonhurst,False
Bergen Beach,Bergen Beach,Bergen Beach,Bergen Beach,Bergen Beach,False
Boerum Hill,Boerum Hill,Boerum Hill,Boerum Hill,Boerum Hill,False
Borough Park,Borough Park,Borough Park,Borough Park,Borough Park,False
Brighton Beach,Brighton Beach,Brighton Beach,Brighton Beach,Brighton Beach,False
Brooklyn Cruise Terminal,Red Hook,Red Hook,Brooklyn Cruise Terminal,Brooklyn Cruise Terminal (RED HOOK),False
Brooklyn College,Flatbush,Flatbush,Brooklyn College,Brooklyn College (FLATBUSH),False
Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,False
Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,False
Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,False
Brownsville,Brownsville,Brownsville,Brownsville,Brownsville,False
Bushwick,Bushwick,Bushwick,Bushwick,Bushwick,False
Canarsie,Canarsie,Canarsie,Canarsie,Canarsie,False
Carroll Gardens,Carroll Gardens,Carroll Gardens,Carroll Gardens,Carroll Gardens,False
Charter Communications,Greenpoint,Greenpoint,Charter Communications,Charter Communications (GREENPOINT),False
Astoria Generating Company LP,Sunset Park,Sunset Park,Astoria Generating Company LP,Astoria Generating Company LP (SUNSET PARK),False
Clinton Hill,Clinton Hill,Clinton Hill,Clinton Hill,Clinton Hill,False
Cobble Hill,Cobble Hill,Cobble Hill,Cobble Hill,Cobble Hill,False
Cocacola Distribution Center,Hunts Point,Hunts Point,Cocacola Distribution Center,Cocacola Distribution Center (HUNTS POINT),False
Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,False
Con Edison Farragut Substation,Vinegar Hill,Vinegar Hill,Con Edison Farragut Substation,Con Edison Farragut Substation (VINEGAR HILL),False
Coney Island,Coney Island,Coney Island,Coney Island,Coney Island,False
