name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,False
Pratt Institute,Clinton Hill,Clinton Hill,Pratt Institute,Pratt Institute (CLINTON HILL),False
Truck Parking Lot,Greenpoint,Greenpoint,Truck Parking Lot,Truck Parking Lot (GREENPOINT),False
Prospect Heights,Prospect Heights,Prospect Heights,Prospect Heights,Prospect Heights,False
Prospect Lefforts Gardens,Flatbush,Flatbush,Prospect Lefforts Gardens,Prospect Lefforts Gardens (FLATBUSH),False
Prospect Park South,Flatbush,Flatbush,Prospect Park South,Prospect Park South (FLATBUSH),False
Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,False
Red Hook,Red Hook,Red Hook,Red Hook,Red Hook,False
Red Hook Wastewater Treatment Plant,Brooklyn Navy Yard,Brooklyn Navy Yard,Red Hook Wastewater Treatment Plant,Red Hook Wastewater Treatment Plant (BROOKLYN NAVY YARD),False
Restricted Area,Brooklyn Navy Yard,Brooklyn Navy Yard,Restricted Area,Restricted Area (BROOKLYN NAVY YARD),False
Sea Gate,Sea Gate,Sea Gate,Sea Gate,Sea Gate (GATED COMMUNITY),False
Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,False
South Brooklyn Marine Terminal,Sunset Park,Sunset Park,South Brooklyn Marine Terminal,South Brooklyn Marine Terminal (SUNSET PARK),False
South Slope,Park Slope,Park Slope,South Slope,South Slope (PARK SLOPE),False
Spring Creek,East New York,East New York,Spring Creek,Spring Creek (EAST NEW YORK),False
Spring Creek Auxiliary Water Pollution Control Plant,Spring Creek,East New York,Spring Creek Auxiliary Water Pollution Control Plant,Spring Creek Auxiliary Water Pollution Control Plant (SPRING CREEK)EAST NEW YORK)),False
Steiner Studios,Brooklyn Navy Yard,Brooklyn Navy Yard,Steiner Studios,Steiner Studios (BROOKLYN NAVY YARD),False
Starret City,East New York,East New York,Starret City,Starret City (EAST NEW YORK),False
Sunoco Brooklyn Terminal,Greenpoint,Greenpoint,Sunoco Brooklyn Terminal,Sunoco Brooklyn Terminal (GREENPOINT),False
Sunset Industrial Park,Sunset Park,Sunset Park,Sunset Industrial Park,Sunset Industrial Park (SUNSET PARK),False
Sunset Park,Sunset Park,Sunset Park,Sunset Park,Sunset Park,False
United Metro Energy Corp,Greenpoint,Greenpoint,United Metro Energy Corp,United Metro Energy Corp (GREENPOINT),False
US Marine Corps Reserve Center,Floyd Bennet Field,Floyd Bennet Field,US Marine Corps Reserve Center,US Marine Corps Reserve Center (FLOYD BENNET FIELD),False
Vinegar Hill,Vinegar Hill,Vinegar Hill,Vinegar Hill,Vinegar Hill,False
Weeksville,Crown Heights,Crown Heights,Weeksville,Weeksville (CROWN HEIGHTS),False
Williamsburg,Williamsburg,Williamsburg,Williamsburg,Williamsburg,False
Windsor Terrace,Windsor Terrace,Windsor Terrace,Windsor Terrace,Windsor Terrace,False
26th Ward Wastewater Treatment Plant,East New York,East New York,26th Ward Wastewater Treatment Plant,26th Ward Wastewater Treatment Plant (EAST NEW YORK),False
Abandoned New York Architectural Terra Cotta Works,Long Island City,Long Island City,Abandoned New York Architectural Terra Cotta Works,Abandoned New York Architectural Terra Cotta Works (LONG ISLAND CITY),False
Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,False
Arverne,Arverne,Arverne,Arverne,Arverne,False
Arverne By The Sea,Arverne,Arverne,Arverne By The Sea,Arverne By The Sea (ARVERNE),False
Astoria,Astoria,Astoria,Astoria,Astoria,False
Astoria Energy,Astoria,Astoria,Astoria Energy,Astoria Energy (ASTORIA),False
Bay Park Estates,College Point,College Point,Bay Park Estates,Bay Park Estates (COLLEGE POINT)(GATED COMMUNITY),False
Bayside,Bayside,Bayside,Bayside,Bayside,False
Bay Terrace,Bayside,Bayside,Bay Terrace,Bay Terrace (BAYSIDE),False
Baybridge Condos,Bayside,Bay Terrace,Baybridge Condos,Baybridge Condos ((BAY TERRACE)(BAYSIDE) (GATED COMMUNITY),False
Bayside Gables,Bayside,Bayside,Bayside Gables,Bayside Gables (BAYSIDE) (GATED COMMUNITY),False
Bayside Hills,Bayside,Bayside,Bayside Hills,Bayside Hills (BAYSIDE),False
Bayswater Peaking Facility,Bayswater,Bayswater,Bayswater Peaking Facility,Bayswater Peaking Facility (BAYSWATER),False
Bayswater,Bayswater,Bayswater,Bayswater,Bayswater,False
Beechhurst Shores at Riverside Drive,Beechhurst,Whitestone,Beechhurst Shores at Riverside Drive,Beechhurst Shores at Riverside Drive (BEECHHURST)WHITESTONE))(GATED COMMUNITY),False
Belle Harbor,Belle Harbor,Belle Harbor,Belle Harbor,Belle Harbor,False
Bellerose,Bellerose,Bellerose,Bellerose,Bellerose,False
Breezy Point,Breezy Point,Breezy Point,Breezy Point,Breezy Point (GATED COMMUNITY),False
Briarwood,Briarwood,Briarwood,Briarwood,Briarwood,False
Broad Channel,Broad Channel,Broad Channel,Broad Channel,Broad Channel,False
Bronx BIT,Bronx BIT,Bronx BIT,Bronx BIT,Bronx BIT,False
Bowery Bay Wastewater Treatment Plant,Astoria,Astoria,Bowery Bay Wastewater Treatment Plant,Bowery Bay Wastewater Treatment Plant (ASTORIA),False
Channel View School for Research,Rockaway Beach,Rockaway Beach,Channel View School for Research,Channel View School for Research (ROCKAWAY BEACH),False
Cambria Heights,Cambria Heights,Cambria Heights,Cambria Heights,Cambria Heights,False
College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,False
College Point,College Point,College Point,College Point,College Point,False
Country Point,Bellerose,Bellerose,Country Point,Country Point (BELLEROSE) (GATED COMMUNITY),False
Con Edison Astoria,Astoria,Astoria,Con Edison Astoria,Con Edison Astoria (ASTORIA),False
Con Edison LIC Substationn,Long Island City,Long Island City,Con Edison LIC Substationn,Con Edison LIC Substationn (LONG ISLAND CITY),False
Creedmore Psychiatric Center,Bellerose,Bellerose,Creedmore Psychiatric Center,Creedmore Psychiatric Center (BELLEROSE),False
Corona,Corona,Corona,Corona,Corona,False
Ditmars Steinway,Astoria,Astoria,Ditmars Steinway,Ditmars Steinway (ASTORIA),False
Douglaston,Douglaston,Douglaston,Douglaston,Douglaston,False
Douglaston Manor,Douglaston,Douglaston,Douglaston Manor,Douglaston Manor (DOUGLASTON),False
DOT Harper St. Yard,Willets Point,Willets Point,DOT Harper St. Yard,DOT Harper St. Yard (WILLETS POINT),False
DSNY Q14 Garage,Edgemere,Edgemere,DSNY Q14 Garage,DSNY Q14 Garage (EDGEMERE),False
DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,False
East Elmhurst,East Elmhurst,East Elmhurst,East Elmhurst,East Elmhurst,False
Edgemere,Edgemere,Edgemere,Edgemere,Edgemere,False
Edgewater Buisseness Park,College Point,College Point,Edgewater Buisseness Park,Edgewater Buisseness Park (COLLEGE POINT),False
Edgewater Estates,College Point,College Point,Edgewater Estates,Edgewater Estates (COLLEGE POINT) (PRIVATE COMMUNITY),False
Elmhurst,Elmhurst,Elmhurst,Elmhurst,Elmhurst,False
Fedex Ground,Maspeth,Maspeth,Fedex Ground,Fedex Ground (MASPETH),False
Far Rockaway,Far Rockaway,Far Rockaway,Far Rockaway,Far Rockaway,False
Floral Park,Floral Park,Floral Park,Floral Park,Floral Park,False
Forest Hills,Forest Hills,Forest Hills,Forest Hills,Forest Hills,False
Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,False
Forest Park Shop,Forest Park Shop,Forest Park Shop,Forest Park Shop,Forest Park Shop,False
Fresh Meadows,Fresh Meadows,Fresh Meadows,Fresh Meadows,Fresh Meadows,False
Flushing,Flushing,Flushing,Flushing,Flushing,False
Flushing Asphalt LLC,College Point,College Point,Flushing Asphalt LLC,Flushing Asphalt LLC (COLLEGE POINT),False
Glen Oaks,Glen Oaks,Glen Oaks,Glen Oaks,Glen Oaks,False
Glendale,Glendale,Glendale,Glendale,Glendale,False
Hollis,Hollis,Hollis,Hollis,Hollis,False
Hollis Hills,Hollis Hills,Hollis Hills,Hollis Hills,Hollis Hills,False
Holliswood,Holliswood,Holliswood,Holliswood,Holliswood,False
International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,False
Howard Beach,Howard Beach,Howard Beach,Howard Beach,Howard Beach,False
Jackson Heights,Jackson Heights,Jackson Heights,Jackson Heights,Jackson Heights,False
Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,False
Jamaica Estates,Jamaica Estates,Jamaica Estates,Jamaica Estates,Jamaica Estates,False
Jamaica Hills,Jamaica Hills,Jamaica Hills,Jamaica Hills,Jamaica Hills,False
Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,False
JFK Airport,JFK Airport,JFK Airport,JFK Airport,JFK Airport,False
JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,False
Kaufman Astoria Studios,Astoria,Astoria,Kaufman Astoria Studios,Kaufman Astoria Studios (ASTORIA),False
Kew Gardens,Kew Gardens,Kew Gardens,Kew Gardens,Kew Gardens,False
Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,False
Laguardia Airport,Laguardia Airport,Laguardia Airport,Laguardia Airport,Laguardia Airport,False
Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,False
LGA Discount Parking,Astoria,Ditmars Steinway,LGA Discount Parking,LGA Discount Parking (DITMARS STEINWAY(ASTORIA)),False
Laurelton,Laurelton,Laurelton,Laurelton,Laurelton,False
Linden Hill,Flushing,Flushing,Linden Hill,Linden Hill (FLUSHING),False
Lindenwood,Howard Beach,Howard Beach,Lindenwood,Lindenwood (HOWARD BEACH),False
Little Neck,Little Neck,Little Neck,Little Neck,Little Neck,False
Long Island City,Long Island City,Long Island City,Long Island City,Long Island City,False
Maspeth,Maspeth,Maspeth,Maspeth,Maspeth,False
Meadowmere,Meadowmere,Meadowmere,Meadowmere,Meadowmere,False
Middle Village,Middle Village,Middle Village,Middle Village,Middle Village,False
MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,False
MTA College Point Bus Depot,College Point,College Point,MTA College Point Bus Depot,MTA College Point Bus Depot (COLLEGE POINT),False
MTA JFK Bus Depot,Springfield Gardens,Brookville,MTA JFK Bus Depot,MTA JFK Bus Depot (BROOKVILLE(SPRINGFIELD GARDENS)),False
MTA Queens Village Bus Depot,Queens Village,Queens Village,MTA Queens Village Bus Depot,MTA Queens Village Bus Depot (QUEENS VILLAGE),False
Neponsit,Neponsit,Neponsit,Neponsit,Neponsit,False
New York Times Distribution,College Point,College Point,New York Times Distribution,New York Times Distribution (COLLEGE POINT),False
New Hyde Park,Floral Park,Floral Park,New Hyde Park,New Hyde Park (FLORAL PARK),False
North Shore Marine Transfer,College Point,College Point,North Shore Marine Transfer,North Shore Marine Transfer (COLLEGE POINT),False
North Corona,Corona,Corona,North Corona,North Corona (CORONA),False
North Shore Towers,North Shore Towers,North Shore Towers,North Shore Towers,North Shore Towers (GATED COMMUNITY),False
Oakland Gardens,Bayside,Bayside,Oakland Gardens,Oakland Gardens (BAYSIDE),False
Oak Park,Douglaston,Douglaston,Oak Park,Oak Park (DOUGLASTON) (GATED COMMUNITY),False
Old Howard Beach,Howard Beach,Howard Beach,Old Howard Beach,Old Howard Beach (HOWARD BEACH),False
Ozone Park,Ozone Park,Ozone Park,Ozone Park,Ozone Park,False
Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,False
Parkway Village,Kew Gardens Hills,Kew Gardens Hills,Parkway Village,Parkway Village (KEW GARDENS HILLS) (PRIVATE COMMUNITY),False
Pepsi Cola Bottling Plant,College Point,College Point,Pepsi Cola Bottling Plant,Pepsi Cola Bottling Plant (COLLEGE POINT),False
Queens College,Queens College,Queens College,Queens College,Queens College,False
Precision Gear,College Point,College Point,Precision Gear,Precision Gear (COLLEGE POINT),False
Queens Village,Queens Village,Queens Village,Queens Village,Queens Village,False
Queensborough Community College,Bayside,Bayside,Queensborough Community College,Queensborough Community College (BAYSIDE),False
Queensboro Hill,Flushing,Flushing,Queensboro Hill,Queensboro Hill (FLUSHING),False
Racetrack & Stables,Aquaduct Racetrack,Aquaduct Racetrack,Racetrack & Stables,Racetrack & Stables (AQUADUCT RACETRACK),False
"""Big Allis"" Ravenswood Generating Station",Long Island City,Long Island City,"""Big Allis"" Ravenswood Generating Station","""Big Allis"" Ravenswood Generating Station (LONG ISLAND CITY)",False
Rego Park,Rego Park,Rego Park,Rego Park,Rego Park,False
Richmond Hill,Richmond Hill,Richmond Hill,Richmond Hill,Richmond Hill,False
Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,False
Rivers Edge at Powell Cove Estates,College Point,College Point,Rivers Edge at Powell Cove Estates,Rivers Edge at Powell Cove Estates (COLLEGE POINT) (GATED COMMMUNITY),False
Riverside Estates At Beachhurst Shores,Beechhurst,Whitestone,Riverside Estates At Beachhurst Shores,Riverside Estates At Beachhurst Shores (BEECHHURST)WHITESTONE))(GATED COMMUNITY),False
Rockaway Beach,Rockaway Beach,Rockaway Beach,Rockaway Beach,Rockaway Beach,False
Rockaway Park,Rockaway Park,Rockaway Park,Rockaway Park,Rockaway Park,False
Rockaway Wastewater Resource Recovery Facility,Rockaway Beach,Rockaway Beach,Rockaway Wastewater Resource Recovery Facility,Rockaway Wastewater Resource Recovery Facility (ROCKAWAY BEACH),False
Rockaway Point,Breezy Point,Breezy Point,Rockaway Point,Rockaway Point (BREEZY POINT) (GATED COMMUNITY),False
Rosedale,Rosedale,Rosedale,Rosedale,Rosedale,False
Royal Ranch,Glen Oaks,Glen Oaks,Royal Ranch,Royal Ranch (GLEN OAKS),False
Roxbury,Breezy Point,Breezy Point,Roxbury,Roxbury (BREEZY POINT) (GATED COMMUNITY),False
Soundview Pointe,College Point,College Point,Soundview Pointe,Soundview Pointe (COLLEGE POINT) (PRIVATE COMMUNITY),False
South Jamaica,Jamaica,Jamaica,South Jamaica,South Jamaica (JAMAICA),False
South Ozone Park,Ozone Park,Ozone Park,South Ozone Park,South Ozone Park (OZONE PARK),False
"South, South Ozone Park",South Ozone Park,Ozone Park,"South, South Ozone Park","South, South Ozone Park (SOUTH OZONE PARK) OZONE PARK))",False
South Richmond Hill,Richmond Hill,Richmond Hill,South Richmond Hill,South Richmond Hill (RICHMOND HILL),False
SRM Concrete,College Point,College Point,SRM Concrete,SRM Concrete (COLLEGE POINT),False
Springfield Gardens,Springfield Gardens,Springfield Gardens,Springfield Gardens,Springfield Gardens,False
St. John's University,St. John's University,St. John's University,St. John's University,St. John's University,False
St. Albans,St. Albans,St. Albans,St. Albans,St. Albans,False
Sunnyside,Sunnyside,Sunnyside,Sunnyside,Sunnyside,False
Tallman Island Wastewater Treatment Plant,College Point,College Point,Tallman Island Wastewater Treatment Plant,Tallman Island Wastewater Treatment Plant (COLLEGE POINT),False
The Maple Glen,Douglaston,Douglaston,The Maple Glen,The Maple Glen (DOUGLASTON),False
Tropicana/Pepsico Distribution Center,Whitestone,Whitestone,Tropicana/Pepsico Distribution Center,Tropicana/Pepsico Distribution Center (WHITESTONE),False
US Federal Aviation Administration,Springfield Gardens,Brookvile,US Federal Aviation Administration,US Federal Aviation Administration (BROOKVILE(SPRINGFIELD GARDENS)),False
USPS Queens Processing & Distribution Center,College Point,College Point,USPS Queens Processing & Distribution Center,USPS Queens Processing & Distribution Center (COLLEGE POINT),False
Sunnyside Gardens,Sunnyside,Sunnyside,Sunnyside Gardens,Sunnyside Gardens (SUNNYSIDE),False
Utopia,Fresh Meadows,Fresh Meadows,Utopia,Utopia (FRESH MEADOWS),False
Whitestone,Whitestone,Whitestone,Whitestone,Whitestone,False
Wildflower Estates,Beechhurst,Whitestone,Wildflower Estates,Wildflower Estates (BEECHHURST)WHITESTONE))(GATED COMMUNITY),False
Willets Point,Willets Point,Willets Point,Willets Point,Willets Point,False
Woodhaven,Woodhaven,Woodhaven,Woodhaven,Woodhaven,False
Woodside,Woodside,Woodside,Woodside,Woodside,False
The Hole,The Hole,The Hole,The Hole,The Hole,False
Marble Hill,Marble Hill,Marble Hill,Marble Hill,Marble Hill,False
Meatpacking District,Greenwich Village,West Village,Meatpacking District,Meatpacking District (WEST VILLAGE(GREENWICH VILLAGE)),False
Carnegie Hill,Upper East Side,Upper East Side,Carnegie Hill,Carnegie Hill (UPPER EAST SIDE),False
Lenox Hill,Upper East Side,Upper East Side,Lenox Hill,Lenox Hill (UPPER EAST SIDE),False
Ditmas Park,Flatbush,Flatbush,Ditmas Park,Ditmas Park (FLATBUSH),False
Homecrest,Midwood,Midwood,Homecrest,Homecrest (MIDWOOD),False
Cypress Hills,East New York,East New York,Cypress Hills,Cypress Hills (EAST NEW YORK),False
Baychester,Eastchester,Eastchester,Baychester,Baychester (EASTCHESTER),False
Bay Plaza Mall/ Bartow Mall,Co-Op City,Co-Op City,Bay Plaza Mall/ Bartow Mall,Bay Plaza Mall/ Bartow Mall (CO-OP CITY),False
Charlotte Gardens,Crotona Park East,Crotona Park East,Charlotte Gardens,Charlotte Gardens (CROTONA PARK EAST),False
Fieldston,Riverdale,Riverdale,Fieldston,Fieldston (RIVERDALE),False
Foxhurst,Longwood,Longwood,Foxhurst,Foxhurst (LONGWOOD),False
Indian Village,Morris Park,Morris Park,Indian Village,Indian Village (MORRIS PARK),False
Little Yemen,Van Nest,Van Nest,Little Yemen,Little Yemen (VAN NEST),False
North Riverdale,Riverdale,Riverdale,North Riverdale,North Riverdale (RIVERDALE),False
Locust Point,Throgs Neck,Throgs Neck,Locust Point,Locust Point (THROGS NECK),False
City Line,East New York,Cypress Hills,City Line,City Line (CYPRESS HILLS(EAST NEW YORK)),False
Greenwood Heights,Sunset Park,Sunset Park,Greenwood Heights,Greenwood Heights (SUNSET PARK),False
Hamilton Beach,Howard Beach,Howard Beach,Hamilton Beach,Hamilton Beach (HOWARD BEACH),False
East Williamsburg,Williamsburg,Williamsburg,East Williamsburg,East Williamsburg (WILLIAMSBURG),False
South Williamsburg,Williamsburg,Williamsburg,South Williamsburg,South Williamsburg (WILLIAMSBURG),False
Hudson Heights,Washington Heights,Washington Heights,Hudson Heights,Hudson Heights (WASHINGTON HEIGHTS),False
Rochdale,Jamaica,South Jamaica,Rochdale,Rochdale ((SOUTH JAMAICA(JAMAICA)),False
Locust Manor,Jamaica,South Jamaica,Locust Manor,Locust Manor (SOUTH JAMAICA(JAMAICA)),False
Brookville,Springfield Gardens,Springfield Gardens,Brookville,Brookville (SPRINGFIELD GARDENS),False
Bellaire,Queens Village,Queens Village,Bellaire,Bellaire (QUEENS VILLAGE),False
Addisleigh Park,Saint Albans,Saint Albans,Addisleigh Park,Addisleigh Park (SAINT ALBANS),False
Beechhurst,Whitestone,Whitestone,Beechhurst,Beechhurst (WHITESTONE),False
Hunters Point,Long Island City,Long Island City,Hunters Point,Hunters Point (LONG ISLAND CITY),False
Eastcheser Bay,Throgs Neck,Throgs Neck,Eastcheser Bay,Eastcheser Bay (THROGS NECK),False
Police Academy,College Point,College Point,Police Academy,Police Academy (COLLEGE POINT),False
Fresh Meadows Apartements,Fresh Meadows,Fresh Meadows,Fresh Meadows Apartements,Fresh Meadows Apartements (FRESH MEADOWS) (PRIVATE COMMUNITY),False
Liberty Park,Glendale,Glendale,Liberty Park,Liberty Park (GLENDALE),False
Alphabet City,East Village,East Village,Alphabet City,Alphabet City (EAST VILLAGE),False
Co-op Village,Co-Op City,Co-Op City,Co-op Village,Co-op Village (CO-OP CITY),False
idk what this is,idk what this is,idk what this is,idk what this is,idk what this is,False
Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,False
Abandoned Marine Transfer Station,Hamilton Heights,Harlem,Abandoned Marine Transfer Station,Abandoned Marine Transfer Station (HAMILTON HEIGHTS)HARLEM)),False
Cardinal Spellman Highschool,Edenwald,Edenwald,Cardinal Spellman Highschool,Cardinal Spellman Highschool (EDENWALD),False
Manhattan Valley/ Bloomingdale,Upper West Side,Upper West Side,Manhattan Valley/ Bloomingdale,Manhattan Valley/ Bloomingdale (UPPER WEST SIDE),False
Wave Hill Public Garden and Cultural Center,Riverdale,Riverdale,Wave Hill Public Garden and Cultural Center,Wave Hill Public Garden and Cultural Center (RIVERDALE),False
Malba,Whitestone,Whitestone,Malba,Malba (WHITESTONE),False
Diamond District,Midtown,Midtown,Diamond District,Diamond District (MIDTOWN),False
Garment District,Midtown,Midtown,Garment District,Garment District (MIDTOWN),False
Kips Bay,Midtown,Midtown East,Kips Bay,Kips Bay (MIDTOWN EAST (MIDTOWN)),False
Blissville,Long Island City,Long Island City,Blissville,Blissville (LONG ISLAND CITY),False
Polo Grounds/Coogans Hollow,Washington Heights,Washington Heights,Polo Grounds/Coogans Hollow,Polo Grounds/Coogans Hollow (WASHINGTON HEIGHTS),False
Astoria Heights,Astoria,Astoria,Astoria Heights,Astoria Heights (ASTORIA),False
Halletts Point,Astoria,Astoria,Halletts Point,Halletts Point (ASTORIA),False
Hunts Point Food Center,Hunts Point,Hunts Point,Hunts Point Food Center,Hunts Point Food Center (HUNTS POINT),False
Lincoln Square,Upper West Side,Upper West Side,Lincoln Square,Lincoln Square (UPPER WEST SIDE),False
Boar's Head Brand,Williamsburg,East Williamsburg,Boar's Head Brand,Boar's Head Brand (EAST WILLIAMSBURG(WILLIAMSBURG)),False
Homecrest,Sheepshead Bay,Sheepshead Bay,Homecrest,Homecrest (SHEEPSHEAD BAY),False
Fort George,Washington Heights,Washington Heights,Fort George,Fort George (WASHINGTON HEIGHTS),False
Murray Hill,Flushing,Flushing,Murray Hill,Murray Hill (FLUSHING),False
Kissena Park,Flushing,Flushing,Kissena Park,Kissena Park (FLUSHING),False
Hillcrest,Flushing,Flushing,Hillcrest,Hillcrest (FLUSHING),False
Flushing Heights,Flushing,Flushing,Flushing Heights,Flushing Heights (FLUSHING),False
Broadway-Flushing,Flushng,Flushng,Broadway-Flushing,Broadway-Flushing (FLUSHNG),False
Downtown Flushing,Flushing,Flushing,Downtown Flushing,Downtown Flushing (FLUSHING),False
Pomonok/Electchester,Flushing,Flushing,Pomonok/Electchester,Pomonok/Electchester (FLUSHING),False
Auberndale,Flushing,Flushing,Auberndale,Auberndale (FLUSHING),False
Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,Abandoned Pier 107,True
"Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""","Abandoned Vernon C. Bain Correctional Center AKA ""The Boat""",True
Allerton,Allerton,Allerton,Allerton,Allerton,True
Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,Aquaduct Racetrack,True
Arverne,Arverne,Arverne,Arverne,Arverne,True
Astoria,Astoria,Astoria,Astoria,Astoria,True
Bath Beach,Bath Beach,Bath Beach,Bath Beach,Bath Beach,True
Battery Park City,Battery Park City,Battery Park City,Battery Park City,Battery Park City,True
Bay Ridge,Bay Ridge,Bay Ridge,Bay Ridge,Bay Ridge,True
Bayside,Bayside,Bayside,Bayside,Bayside,True
Bayswater,Bayswater,Bayswater,Bayswater,Bayswater,True
Bed-Stuy,Bed-Stuy,Bed-Stuy,Bed-Stuy,Bed-Stuy,True
Bedford Park,Bedford Park,Bedford Park,Bedford Park,Bedford Park,True
Beechhurst,Beechhurst,Beechhurst,Beechhurst,Beechhurst,True
Belle Harbor,Belle Harbor,Belle Harbor,Belle Harbor,Belle Harbor,True
Bellerose,Bellerose,Bellerose,Bellerose,Bellerose,True
Belmont,Belmont,Belmont,Belmont,Belmont,True
Bensonhurst,Bensonhurst,Bensonhurst,Bensonhurst,Bensonhurst,True
Bergen Beach,Bergen Beach,Bergen Beach,Bergen Beach,Bergen Beach,True
Boerum Hill,Boerum Hill,Boerum Hill,Boerum Hill,Boerum Hill,True
Borough Park,Borough Park,Borough Park,Borough Park,Borough Park,True
Breezy Point,Breezy Point,Breezy Point,Breezy Point,Breezy Point,True
Briarwood,Briarwood,Briarwood,Briarwood,Briarwood,True
Brighton Beach,Brighton Beach,Brighton Beach,Brighton Beach,Brighton Beach,True
Broad Channel,Broad Channel,Broad Channel,Broad Channel,Broad Channel,True
Bronx BIT,Bronx BIT,Bronx BIT,Bronx BIT,Bronx BIT,True
Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,Bronx Borough Crews,True
Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,Bronx Scrap Metal,True
Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,Bronx Tow Pound,True
Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,Brooklyn Heights,True
Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,Brooklyn Marine Terminal,True
Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,Brooklyn Navy Yard,True
Brownsville,Brownsville,Brownsville,Brownsville,Brownsville,True
Bushwick,Bushwick,Bushwick,Bushwick,Bushwick,True
Cambria Heights,Cambria Heights,Cambria Heights,Cambria Heights,Cambria Heights,True
Canarsie,Canarsie,Canarsie,Canarsie,Canarsie,True
Carroll Gardens,Carroll Gardens,Carroll Gardens,Carroll Gardens,Carroll Gardens,True
Castle Hill,Castle Hill,Castle Hill,Castle Hill,Castle Hill,True
Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,True
Chinatown,Chinatown,Chinatown,Chinatown,Chinatown,True
City Island,City Island,City Island,City Island,City Island,True
Civic Center,Civic Center,Civic Center,Civic Center,Civic Center,True
Claremont,Claremont,Claremont,Claremont,Claremont,True
Classon Point,Classon Point,Classon Point,Classon Point,Classon Point,True
Clinton Hill,Clinton Hill,Clinton Hill,Clinton Hill,Clinton Hill,True
Co-Op City,Co-Op City,Co-Op City,Co-Op City,Co-Op City,True
Co-op City,Co-op City,Co-op City,Co-op City,Co-op City,True
Cobble Hill,Cobble Hill,Cobble Hill,Cobble Hill,Cobble Hill,True
College Point,College Point,College Point,College Point,College Point,True
College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,College Point Shopping Center,True
Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,Columbia Street Waterfront District,True
Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,Con Edison East River Generating Station,True
Concourse,Concourse,Concourse,Concourse,Concourse,True
Coney Island,Coney Island,Coney Island,Coney Island,Coney Island,True
Corona,Corona,Corona,Corona,Corona,True
Country Club,Country Club,Country Club,Country Club,Country Club,True
Crotona Park East,Crotona Park East,Crotona Park East,Crotona Park East,Crotona Park East,True
Crown Heights,Crown Heights,Crown Heights,Crown Heights,Crown Heights,True
